"Company","EPIC","NameOfStock"
"3i","III","3i,III"
"Abrdn","ABDN","Abrdn,ABDN"
"Admiral Group","ADM","Admiral Group,ADM"
"Airtel Africa","AAF","Airtel Africa,AAF"
"Anglo American plc","AAL","Anglo American plc,AAL"
"Antofagasta plc","ANTO","Antofagasta plc,ANTO"
"Ashtead Group","AHT","Ashtead Group,AHT"
"Associated British Foods","ABF","Associated British Foods,ABF"
"AstraZeneca","AZN","AstraZeneca,AZN"
"Auto Trader Group","AUTO","Auto Trader Group,AUTO"
"Aveva","AVV","Aveva,AVV"
"Aviva","AV","Aviva,AV"
"B&M","BME","B&M,BME"
"BAE Systems","BA","BAE Systems,BA"
"Barclays","BARC","Barclays,BARC"
"Barratt Developments","BDEV","Barratt Developments,BDEV"
"Beazley Group","BEZ","Beazley Group,BEZ"
"Berkeley Group Holdings","BKG","Berkeley Group Holdings,BKG"
"BP","BP","BP,BP"
"British American Tobacco","BATS","British American Tobacco,BATS"
"British Land","BLND","British Land,BLND"
"BT Group","BT-A","BT Group,BT-A"
"Bunzl","BNZL","Bunzl,BNZL"
"Burberry","BRBY","Burberry,BRBY"
"Centrica","CNA","Centrica,CNA"
"Coca-Cola HBC","CCH","Coca-Cola HBC,CCH"
"Compass Group","CPG","Compass Group,CPG"
"Convatec","CTEC","Convatec,CTEC"
"CRH plc","CRH","CRH plc,CRH"
"Croda International","CRDA","Croda International,CRDA"
"DCC plc","DCC","DCC plc,DCC"
"Diageo","DGE","Diageo,DGE"
"Endeavour Mining","EDV","Endeavour Mining,EDV"
"Entain","ENT","Entain,ENT"
"Experian","EXPN","Experian,EXPN"
"Foreign & Colonial Investment Trust","FCIT","Foreign & Colonial Investment Trust,FCIT"
"Flutter Entertainment","FLTR","Flutter Entertainment,FLTR"
"Frasers Group","FRAS","Frasers Group,FRAS"
"Fresnillo plc","FRES","Fresnillo plc,FRES"
"Glencore","GLEN","Glencore,GLEN"
"GSK plc","GSK","GSK plc,GSK"
"Haleon","HLN","Haleon,HLN"
"Halma plc","HLMA","Halma plc,HLMA"
"Hargreaves Lansdown","HL","Hargreaves Lansdown,HL"
"HomeServe","HSV","HomeServe,HSV"
"HSBC","HSBA","HSBC,HSBA"
"IHG Hotels & Resorts","IHG","IHG Hotels & Resorts,IHG"
"Imperial Brands","IMB","Imperial Brands,IMB"
"Informa","INF","Informa,INF"
"International Airlines Group","IAG","International Airlines Group,IAG"
"Intertek","ITRK","Intertek,ITRK"
"JD Sports","JD","JD Sports,JD"
"Kingfisher plc","KGF","Kingfisher plc,KGF"
"Land Securities","LAND","Land Securities,LAND"
"Legal & General","LGEN","Legal & General,LGEN"
"Lloyds Banking Group","LLOY","Lloyds Banking Group,LLOY"
"London Stock Exchange Group","LSEG","London Stock Exchange Group,LSEG"
"M&G","MNG","M&G,MNG"
"Melrose Industries","MRO","Melrose Industries,MRO"
"Mondi","MNDI","Mondi,MNDI"
"National Grid plc","NG","National Grid plc,NG"
"NatWest Group","NWG","NatWest Group,NWG"
"Next plc","NXT","Next plc,NXT"
"Ocado Group","OCDO","Ocado Group,OCDO"
"Pearson plc","PSON","Pearson plc,PSON"
"Pershing Square Holdings","PSH","Pershing Square Holdings,PSH"
"Persimmon plc","PSN","Persimmon plc,PSN"
"Phoenix Group","PHNX","Phoenix Group,PHNX"
"Prudential plc","PRU","Prudential plc,PRU"
"Reckitt","RKT","Reckitt,RKT"
"RELX","REL","RELX,REL"
"Rentokil Initial","RTO","Rentokil Initial,RTO"
"Rightmove","RMV","Rightmove,RMV"
"Rio Tinto","RIO","Rio Tinto,RIO"
"Rolls-Royce Holdings","RR","Rolls-Royce Holdings,RR"
"RS Group plc","RS1","RS Group plc,RS1"
"Sage Group","SGE","Sage Group,SGE"
"Sainsbury's","SBRY","Sainsbury's,SBRY"
"Schroders","SDR","Schroders,SDR"
"Scottish Mortgage Investment Trust","SMT","Scottish Mortgage Investment Trust,SMT"
"Segro","SGRO","Segro,SGRO"
"Severn Trent","SVT","Severn Trent,SVT"
"Shell plc","SHEL","Shell plc,SHEL"
"DS Smith","SMDS","DS Smith,SMDS"
"Smiths Group","SMIN","Smiths Group,SMIN"
"Smith & Nephew","SN","Smith & Nephew,SN"
"Smurfit Kappa","SKG","Smurfit Kappa,SKG"
"Spirax-Sarco Engineering","SPX","Spirax-Sarco Engineering,SPX"
"SSE plc","SSE","SSE plc,SSE"
"Standard Chartered","STAN","Standard Chartered,STAN"
"St. James's Place plc","STJ","St. James's Place plc,STJ"
"Taylor Wimpey","TW","Taylor Wimpey,TW"
"Tesco","TSCO","Tesco,TSCO"
"Unilever","ULVR","Unilever,ULVR"
"United Utilities","UU","United Utilities,UU"
"Unite Group","UTG","Unite Group,UTG"
"Vodafone Group","VOD","Vodafone Group,VOD"
"Weir Group","WEIR","Weir Group,WEIR"
"Whitbread","WTB","Whitbread,WTB"
"WPP plc","WPP","WPP plc,WPP"
