"Security","Symbol","NameOfStock"
"3M","MMM","3M,MMM"
"A. O. Smith","AOS","A. O. Smith,AOS"
"Abbott","ABT","Abbott,ABT"
"AbbVie","ABBV","AbbVie,ABBV"
"Accenture","ACN","Accenture,ACN"
"Activision Blizzard","ATVI","Activision Blizzard,ATVI"
"ADM","ADM","ADM,ADM"
"Adobe Inc.","ADBE","Adobe Inc.,ADBE"
"ADP","ADP","ADP,ADP"
"Advance Auto Parts","AAP","Advance Auto Parts,AAP"
"AES Corporation","AES","AES Corporation,AES"
"Aflac","AFL","Aflac,AFL"
"Agilent Technologies","A","Agilent Technologies,A"
"Air Products and Chemicals","APD","Air Products and Chemicals,APD"
"Akamai","AKAM","Akamai,AKAM"
"Alaska Air Group","ALK","Alaska Air Group,ALK"
"Albemarle Corporation","ALB","Albemarle Corporation,ALB"
"Alexandria Real Estate Equities","ARE","Alexandria Real Estate Equities,ARE"
"Align Technology","ALGN","Align Technology,ALGN"
"Allegion","ALLE","Allegion,ALLE"
"Alliant Energy","LNT","Alliant Energy,LNT"
"Allstate","ALL","Allstate,ALL"
"Alphabet Inc. (Class A)","GOOGL","Alphabet Inc. (Class A),GOOGL"
"Alphabet Inc. (Class C)","GOOG","Alphabet Inc. (Class C),GOOG"
"Altria","MO","Altria,MO"
"Amazon","AMZN","Amazon,AMZN"
"Amcor","AMCR","Amcor,AMCR"
"AMD","AMD","AMD,AMD"
"Ameren","AEE","Ameren,AEE"
"American Airlines Group","AAL","American Airlines Group,AAL"
"American Electric Power","AEP","American Electric Power,AEP"
"American Express","AXP","American Express,AXP"
"American International Group","AIG","American International Group,AIG"
"American Tower","AMT","American Tower,AMT"
"American Water Works","AWK","American Water Works,AWK"
"Ameriprise Financial","AMP","Ameriprise Financial,AMP"
"AmerisourceBergen","ABC","AmerisourceBergen,ABC"
"Ametek","AME","Ametek,AME"
"Amgen","AMGN","Amgen,AMGN"
"Amphenol","APH","Amphenol,APH"
"Analog Devices","ADI","Analog Devices,ADI"
"Ansys","ANSS","Ansys,ANSS"
"Aon","AON","Aon,AON"
"APA Corporation","APA","APA Corporation,APA"
"Apple Inc.","AAPL","Apple Inc.,AAPL"
"Applied Materials","AMAT","Applied Materials,AMAT"
"Aptiv","APTV","Aptiv,APTV"
"Arch Capital Group","ACGL","Arch Capital Group,ACGL"
"Arista Networks","ANET","Arista Networks,ANET"
"Arthur J. Gallagher & Co.","AJG","Arthur J. Gallagher & Co.,AJG"
"Assurant","AIZ","Assurant,AIZ"
"AT&T","T","AT&T,T"
"Atmos Energy","ATO","Atmos Energy,ATO"
"Autodesk","ADSK","Autodesk,ADSK"
"AutoZone","AZO","AutoZone,AZO"
"AvalonBay Communities","AVB","AvalonBay Communities,AVB"
"Avery Dennison","AVY","Avery Dennison,AVY"
"Baker Hughes","BKR","Baker Hughes,BKR"
"Ball Corporation","BALL","Ball Corporation,BALL"
"Bank of America","BAC","Bank of America,BAC"
"Bath & Body Works, Inc.","BBWI","Bath & Body Works, Inc.,BBWI"
"Baxter International","BAX","Baxter International,BAX"
"Becton Dickinson","BDX","Becton Dickinson,BDX"
"Berkley","WRB","Berkley,WRB"
"Berkshire Hathaway","BRK.B","Berkshire Hathaway,BRK.B"
"Best Buy","BBY","Best Buy,BBY"
"Bio-Rad","BIO","Bio-Rad,BIO"
"Bio-Techne","TECH","Bio-Techne,TECH"
"Biogen","BIIB","Biogen,BIIB"
"BlackRock","BLK","BlackRock,BLK"
"BNY Mellon","BK","BNY Mellon,BK"
"Boeing","BA","Boeing,BA"
"Booking Holdings","BKNG","Booking Holdings,BKNG"
"BorgWarner","BWA","BorgWarner,BWA"
"Boston Properties","BXP","Boston Properties,BXP"
"Boston Scientific","BSX","Boston Scientific,BSX"
"Bristol Myers Squibb","BMY","Bristol Myers Squibb,BMY"
"Broadcom Inc.","AVGO","Broadcom Inc.,AVGO"
"Broadridge Financial Solutions","BR","Broadridge Financial Solutions,BR"
"Brown & Brown","BRO","Brown & Brown,BRO"
"Brown–Forman","BF.B","Brown–Forman,BF.B"
"C.H. Robinson","CHRW","C.H. Robinson,CHRW"
"Cadence Design Systems","CDNS","Cadence Design Systems,CDNS"
"Caesars Entertainment","CZR","Caesars Entertainment,CZR"
"Camden Property Trust","CPT","Camden Property Trust,CPT"
"Campbell Soup Company","CPB","Campbell Soup Company,CPB"
"Capital One","COF","Capital One,COF"
"Cardinal Health","CAH","Cardinal Health,CAH"
"CarMax","KMX","CarMax,KMX"
"Carnival","CCL","Carnival,CCL"
"Carrier Global","CARR","Carrier Global,CARR"
"Catalent","CTLT","Catalent,CTLT"
"Caterpillar Inc.","CAT","Caterpillar Inc.,CAT"
"Cboe Global Markets","CBOE","Cboe Global Markets,CBOE"
"CBRE Group","CBRE","CBRE Group,CBRE"
"CDW","CDW","CDW,CDW"
"Celanese","CE","Celanese,CE"
"Centene Corporation","CNC","Centene Corporation,CNC"
"CenterPoint Energy","CNP","CenterPoint Energy,CNP"
